Region,Installation,RPUID,Asset_Name,build_dt,FCI,ICI,Visit Date,Net_Profit,Population,Profit_per_pop,ConditionCombo,ICI_Exist,Q-Rating
MCIEAST,MCAS Beaufort,27911,BOWLING ALLEY,1965,86,,04-Feb-21,358619.17,3373,106.3205366,86,N,Q1
MCIEAST,MCAS Beaufort,28075,YOUTH CENTER - LAUREL BAY,1995,88,,03-Feb-21,1363637.42,3373,404.2802905,88,N,Q1
MCIEAST,MCAS Beaufort,32912,MCCS CARWASH,2001,92,,29-Jan-21,514947.44,3373,152.6674889,92,N,Q1
MCIEAST,MCAS Beaufort,34775,BATHHOUSE,1967,86,,02-Feb-21,157397.61,3373,46.66398162,86,N,Q1
MCIEAST,MCAS Beaufort,34781,MWR LOCATION EXCHANGE,1995,88,,02-Feb-21,17191221.93,3373,5096.715663,88,N,Q1
MCIEAST,MCAS Beaufort,34785,CDC CHILD CARE LB,2002,88,,02-Feb-21,-81743.08,3373,-24.23453306,88,N,Q1
MCIEAST,MCAS Beaufort,34792,MCCS LB CAR WASH,2007,87,,01-Feb-21,244142.7,3373,72.3814705,87,N,Q1
MCIEAST,MCAS Beaufort,548413,AFTERBURNERS EM CMMNITY CLB AND SUBWAY,1956,88,,03-Feb-21,-158724.37,3373,-47.05732879,88,N,Q1
MCIEAST,MCAS Beaufort,548413,AFTERBURNERS EM CMMNITY CLB AND SUBWAY,1956,88,95,04-Aug-16,-158724.37,3373,-47.05732879,95,Y,Q1
MCIEAST,MCAS Beaufort,548414,OFFICERS CLUB,1956,83,97,04-Aug-16,-1574506.05,3373,-466.7969315,97,Y,Q1
MCIEAST,MCAS Beaufort,548419,MCCS HEADQUARTERS,1955,84,,01-Feb-21,-23804865.22,3373,-7057.475606,84,N,Q1
MCIEAST,MCAS Beaufort,548427,STATION TRAINING AUDITORIUM,1957,80,,27-Jan-21,-32275.51,3373,-9.568784465,80,N,Q2
MCIEAST,MCAS Beaufort,624330,TEMPORARY LODGING FACILITY,1989,86,96,,16064066.67,3373,4762.545707,96,Y,Q1
MCIEAST,MCAS Beaufort,624402,AUTO HOBBY/MWR EQUIP. ISSUE,1997,87,,02-Feb-21,1232622.73,3373,365.4381055,87,N,Q1
MCIEAST,MCAS Beaufort,624753,MCCS LOG CABIN,1997,86,,08-Feb-21,113807.16,3373,33.74063445,86,N,Q1
MCIEAST,MCAS Beaufort,625024,MCAS BASE EXCHANGE,2003,86,,05-Feb-21,55032130.6,3373,16315.48491,86,N,Q1
MCIEAST,MCAS Beaufort,625024,MCAS BASE EXCHANGE,2003,86,95.5,04-Aug-16,55032130.6,3373,16315.48491,95.5,Y,Q1
MCIEAST,MCAS Beaufort,625027,MCAS CHILD DEVELOPMENT CEN,1995,88,,03-Feb-21,9211540.16,3373,2730.963581,88,N,Q1
MCIEAST,MCAS Beaufort,924880,H&HS HEADQUARTERS,1966,85,,04-Feb-21,-4.65661E-10,3373,-1.38056E-13,85,N,Q1
MCIEAST,MCAS Beaufort,1159320,PHYSICAL FITNESS CENTER,2013,90,,27-Jan-21,-1046670.38,3373,-310.3084435,90,N,Q1
MCIEAST,MCAS Cherry Point,14333,(MCCS) CHILD DEVELOPMENT CENTER-2,2001,82,,12-Nov-20,15613916.38,7414,2106.004367,82,N,Q1
MCIEAST,MCAS Cherry Point,17300,HITT FITNESS CENTER (GRANTS LANDING) (MCCS),1955,34,,20-Aug-15,-41156.46,7414,-5.551181548,34,N,Q4
MCIEAST,MCAS Cherry Point,17523,(MCCS) THE ROAD HOUSE,1970,65,,28-Jan-16,5005216.55,7414,675.1033922,65,N,Q3
